"timestamp","counts","heartRate","respirationRate","totalEnergyExpenditure","activeEnergyExpenditure","steps","nonwear","runDuration","walkDuration","activeMinutes","restingHeartRate","heartRateRecovery","cardioFitnessIndex","vo2Max","batteryDischarge","sleepEventMarker","missingData","sleep"
"11-05-2022 01:10:00","475","53","17","149.6173","0.0764","0","0","0","0","0","NaN","NaN","NaN","NaN","0","0","0","0"
"11-05-2022 01:11:00","305","52","21","151.0414","0.1011","0","0","0","0","0","NaN","NaN","NaN","NaN","0","0","0","0"
"11-05-2022 01:12:00","608","52","17","152.5025","0.1344","0","0","0","0","0","NaN","NaN","NaN","NaN","0","0","0","0"
"11-05-2022 01:13:00","160","50","18","153.8994","0.0767","0","0","0","0","0","NaN","NaN","NaN","NaN","0","0","0","0"
"11-05-2022 01:14:00","735","51","20","155.3830","0.1547","0","0","0","0","0","NaN","NaN","NaN","NaN","0","0","0","0"
"11-05-2022 01:15:00","1345","52","19","156.8386","0.1294","0","0","0","0","0","NaN","NaN","NaN","NaN","0","0","0","0"
"11-05-2022 01:16:00","144","55","17","158.5574","0.3664","0","0","0","0","0","NaN","NaN","NaN","NaN","0","0","0","0"
"11-05-2022 01:17:00","243","54","19","159.9361","0.0603","0","0","0","0","0","NaN","NaN","NaN","NaN","0","0","0","0"
"11-05-2022 01:18:00","171","53","17","161.3136","0.0592","0","0","0","0","0","NaN","NaN","NaN","NaN","0","0","0","0"
"11-05-2022 01:19:00","63","54","17","162.6497","0.0219","0","0","0","0","0","NaN","NaN","NaN","NaN","0","0","0","0"
"11-05-2022 01:20:00","761","55","18","164.0025","0.0369","0","0","0","0","0","NaN","NaN","NaN","NaN","0","0","0","0"
"11-05-2022 01:21:00","1330","55","NaN","165.7321","0.3761","0","0","0","0","0","NaN","NaN","NaN","NaN","0","0","0","0"
"11-05-2022 01:22:00","144","55","18","167.1846","0.1267","0","0","0","0","0","NaN","NaN","NaN","NaN","0","0","0","0"
"11-05-2022 01:23:00","1669","52","17","168.7497","0.2281","0","0","0","0","0","NaN","NaN","NaN","NaN","0","0","0","0"
"11-05-2022 01:24:00","356","52","18","170.2722","0.1897","0","0","0","0","0","NaN","NaN","NaN","NaN","0","0","0","0"
"11-05-2022 01:25:00","122","51","19","171.6327","0.0439","0","0","0","0","0","NaN","NaN","NaN","NaN","0","0","0","1"
"11-05-2022 01:26:00","121","50","19","172.9815","0.0333","0","0","0","0","0","NaN","NaN","NaN","NaN","0","0","0","1"
"11-05-2022 01:27:00","729","51","19","174.4491","0.1403","0","0","0","0","0","NaN","NaN","NaN","NaN","0","0","0","0"
"11-05-2022 01:28:00","1027","51","NaN","176.0438","0.2547","0","0","0","0","0","NaN","NaN","NaN","NaN","0","0","0","0"
"11-05-2022 01:29:00","116","49","19","177.4303","0.0672","0","0","0","0","0","NaN","NaN","NaN","NaN","0","0","0","1"
"11-05-2022 01:30:00","101","47","16","178.7790","0.0333","0","0","0","0","0","NaN","NaN","NaN","NaN","0","0","0","1"
"11-05-2022 01:31:00","484","50","7","180.2040","0.1019","0","0","0","0","0","NaN","NaN","NaN","NaN","0","0","0","1"
"11-05-2022 01:32:00","114","50","15","181.5673","0.0464","0","0","0","0","0","NaN","NaN","NaN","NaN","0","0","0","1"
"11-05-2022 01:33:00","113","49","16","182.9161","0.0333","0","0","0","0","0","NaN","NaN","NaN","NaN","0","0","0","1"
"11-05-2022 01:34:00","111","48","16","184.2648","0.0333","0","0","0","0","0","NaN","NaN","NaN","NaN","0","0","0","1"
"11-05-2022 01:35:00","798","49","17","185.7552","0.1608","0","0","0","0","0","NaN","NaN","NaN","NaN","0","0","0","0"
"11-05-2022 01:36:00","70","49","11","187.1309","0.0575","0","0","0","0","0","NaN","NaN","NaN","NaN","0","0","0","1"
"11-05-2022 01:37:00","54","47","15","188.4611","0.0167","0","0","0","0","0","NaN","NaN","NaN","NaN","0","0","0","1"
"11-05-2022 01:38:00","54","48","15","189.7914","0.0167","0","0","0","0","0","NaN","NaN","NaN","NaN","0","0","0","1"
"11-05-2022 01:39:00","54","49","12","191.1216","0.0167","0","0","0","0","0","NaN","NaN","NaN","NaN","0","0","0","1"
"11-05-2022 01:40:00","58","48","8","192.4519","0.0167","0","0","0","0","0","NaN","NaN","NaN","NaN","0","0","0","1"
"11-05-2022 01:41:00","55","48","10","193.7821","0.0167","0","0","0","0","0","NaN","NaN","NaN","NaN","0","0","0","1"
"11-05-2022 01:42:00","56","49","13","195.1124","0.0167","0","0","0","0","0","NaN","NaN","NaN","NaN","0","0","0","1"
"11-05-2022 01:43:00","52","49","16","196.4426","0.0167","0","0","0","0","0","NaN","NaN","NaN","NaN","0","0","0","1"
"11-05-2022 01:44:00","51","48","11","197.7728","0.0167","0","0","0","0","0","NaN","NaN","NaN","NaN","0","0","0","1"
"11-05-2022 01:45:00","51","49","11","199.1031","0.0167","0","0","0","0","0","NaN","NaN","NaN","NaN","0","0","0","1"
"11-05-2022 01:46:00","50","47","15","200.4333","0.0167","0","0","0","0","0","NaN","NaN","NaN","NaN","0","0","0","1"
"11-05-2022 01:47:00","52","48","11","201.7636","0.0167","0","0","0","0","0","NaN","NaN","NaN","NaN","0","0","0","1"
"11-05-2022 01:48:00","80","47","13","203.0975","0.0200","0","0","0","0","0","NaN","NaN","NaN","NaN","0","0","0","1"
"11-05-2022 01:49:00","46","47","14","204.4278","0.0167","0","0","0","0","0","NaN","NaN","NaN","NaN","0","0","0","1"
"11-05-2022 01:50:00","43","48","11","205.7580","0.0167","0","0","0","0","0","NaN","NaN","NaN","NaN","0","0","0","1"
"11-05-2022 01:51:00","44","47","12","207.0883","0.0167","0","0","0","0","0","NaN","NaN","NaN","NaN","0","0","0","1"
"11-05-2022 01:52:00","45","48","17","208.4185","0.0167","0","0","0","0","0","NaN","NaN","NaN","NaN","0","0","0","1"
"11-05-2022 01:53:00","49","48","17","209.7488","0.0167","0","0","0","0","0","NaN","NaN","NaN","NaN","0","0","0","1"
"11-05-2022 01:54:00","43","48","18","211.0790","0.0167","0","0","0","0","0","NaN","NaN","NaN","NaN","0","0","0","1"
"11-05-2022 01:55:00","45","48","17","212.4093","0.0167","0","0","0","0","0","NaN","NaN","NaN","NaN","0","0","0","1"
"11-05-2022 01:56:00","42","47","13","213.7395","0.0167","0","0","0","0","0","NaN","NaN","NaN","NaN","0","0","0","1"
"11-05-2022 01:57:00","175","47","15","215.0750","0.0214","0","0","0","0","0","NaN","NaN","NaN","NaN","0","0","0","1"
"11-05-2022 01:58:00","46","47","12","216.4275","0.0367","0","0","0","0","0","NaN","NaN","NaN","NaN","0","0","0","1"
"11-05-2022 01:59:00","43","47","15","217.7577","0.0167","0","0","0","0","0","NaN","NaN","NaN","NaN","0","0","0","1"
"11-05-2022 02:00:00","47","47","17","219.0880","0.0167","0","0","0","0","0","NaN","NaN","NaN","NaN","0","0","0","1"
"11-05-2022 02:01:00","45","47","17","220.4182","0.0167","0","0","0","0","0","53","NaN","NaN","NaN","0","0","0","1"
